region,timestamp,pm25,prev_pm25,pm25_increase
New Delhi-8118,2025-03-03T19:30:00.000Z,76.0,70.0,6.0
New Delhi-8118,2025-03-03T20:30:00.000Z,82.0,76.0,6.0
New Delhi-8118,2025-03-03T23:30:00.000Z,50.0,47.0,3.0
New Delhi-8118,2025-03-04T00:30:00.000Z,59.0,50.0,9.0
New Delhi-8118,2025-03-04T01:30:00.000Z,64.0,59.0,5.0
New Delhi-8118,2025-03-04T02:30:00.000Z,68.0,64.0,4.0
New Delhi-8118,2025-03-04T05:30:00.000Z,58.0,56.0,2.0
New Delhi-8118,2025-03-04T12:30:00.000Z,34.0,33.0,1.0
New Delhi-8118,2025-03-04T15:30:00.000Z,36.0,28.0,8.0
New Delhi-8118,2025-03-04T17:30:00.000Z,42.0,35.0,7.0
New Delhi-8118,2025-03-04T22:30:00.000Z,39.0,35.0,4.0
New Delhi-8118,2025-03-05T01:30:00.000Z,34.0,28.0,6.0
New Delhi-8118,2025-03-05T02:30:00.000Z,48.0,34.0,14.0
New Delhi-8118,2025-03-05T06:30:00.000Z,34.0,33.0,1.0
New Delhi-8118,2025-03-05T09:30:00.000Z,20.0,15.0,5.0
New Delhi-8118,2025-03-05T13:30:00.000Z,23.0,14.0,9.0
New Delhi-8118,2025-03-05T14:30:00.000Z,34.0,23.0,11.0
New Delhi-8118,2025-03-05T16:30:00.000Z,33.0,28.0,5.0
New Delhi-8118,2025-03-05T18:30:00.000Z,41.0,33.0,8.0
New Delhi-8118,2025-03-05T19:30:00.000Z,50.0,41.0,9.0
New Delhi-8118,2025-03-05T21:30:00.000Z,52.0,47.0,5.0
New Delhi-8118,2025-03-05T22:30:00.000Z,59.0,52.0,7.0
New Delhi-8118,2025-03-05T23:30:00.000Z,63.0,59.0,4.0
New Delhi-8118,2025-03-06T02:30:00.000Z,52.0,51.0,1.0
New Delhi-8118,2025-03-06T03:30:00.000Z,68.0,52.0,16.0
New Delhi-8118,2025-03-06T13:30:00.000Z,19.0,10.0,9.0
New Delhi-8118,2025-03-06T14:30:00.000Z,43.0,19.0,24.0
New Delhi-8118,2025-03-06T15:30:00.000Z,57.0,43.0,14.0
New Delhi-8118,2025-03-06T16:30:00.000Z,61.0,57.0,4.0
New Delhi-8118,2025-03-06T17:30:00.000Z,76.0,61.0,15.0
New Delhi-8118,2025-03-06T18:30:00.000Z,100.0,76.0,24.0
New Delhi-8118,2025-03-06T19:30:00.000Z,123.0,100.0,23.0
New Delhi-8118,2025-03-06T20:30:00.000Z,129.0,123.0,6.0
New Delhi-8118,2025-03-06T23:30:00.000Z,100.0,99.0,1.0
New Delhi-8118,2025-03-07T00:30:00.000Z,124.0,100.0,24.0
New Delhi-8118,2025-03-07T01:30:00.000Z,136.0,124.0,12.0
New Delhi-8118,2025-03-07T02:30:00.000Z,248.0,136.0,112.0
New Delhi-8118,2025-03-07T06:30:00.000Z,74.0,62.0,12.0
New Delhi-8118,2025-03-07T11:30:00.000Z,26.0,23.0,3.0
New Delhi-8118,2025-03-07T13:30:00.000Z,31.0,25.0,6.0
New Delhi-8118,2025-03-07T14:30:00.000Z,49.0,31.0,18.0
New Delhi-8118,2025-03-07T15:30:00.000Z,85.0,49.0,36.0
New Delhi-8118,2025-03-07T16:30:00.000Z,120.0,85.0,35.0
New Delhi-8118,2025-03-07T18:30:00.000Z,107.0,91.0,16.0
New Delhi-8118,2025-03-07T20:30:00.000Z,122.0,89.0,33.0
New Delhi-8118,2025-03-07T22:30:00.000Z,119.0,107.0,12.0
New Delhi-8118,2025-03-08T00:30:00.000Z,89.0,88.0,1.0
New Delhi-8118,2025-03-08T01:30:00.000Z,92.0,89.0,3.0
New Delhi-8118,2025-03-08T02:30:00.000Z,99.0,92.0,7.0
New Delhi-8118,2025-03-08T03:30:00.000Z,100.0,99.0,1.0
New Delhi-8118,2025-03-08T10:30:00.000Z,26.0,23.0,3.0
New Delhi-8118,2025-03-08T11:30:00.000Z,27.0,26.0,1.0
New Delhi-8118,2025-03-08T12:30:00.000Z,41.0,27.0,14.0
New Delhi-8118,2025-03-08T14:30:00.000Z,49.0,36.0,13.0
New Delhi-8118,2025-03-08T15:30:00.000Z,77.0,49.0,28.0
New Delhi-8118,2025-03-08T18:30:00.000Z,76.0,63.0,13.0
New Delhi-8118,2025-03-08T19:30:00.000Z,90.0,76.0,14.0
New Delhi-8118,2025-03-08T20:30:00.000Z,93.0,90.0,3.0
New Delhi-8118,2025-03-08T23:30:00.000Z,88.0,86.0,2.0
New Delhi-8118,2025-03-09T00:30:00.000Z,100.0,88.0,12.0
New Delhi-8118,2025-03-09T01:30:00.000Z,118.0,100.0,18.0
New Delhi-8118,2025-03-09T03:30:00.000Z,149.0,117.0,32.0
New Delhi-8118,2025-03-09T11:30:00.000Z,41.0,40.0,1.0
New Delhi-8118,2025-03-09T12:30:00.000Z,48.0,41.0,7.0
New Delhi-8118,2025-03-09T13:30:00.000Z,56.0,48.0,8.0
New Delhi-8118,2025-03-09T14:30:00.000Z,62.0,56.0,6.0
New Delhi-8118,2025-03-09T15:30:00.000Z,75.0,62.0,13.0
New Delhi-8118,2025-03-09T16:30:00.000Z,79.0,75.0,4.0
New Delhi-8118,2025-03-09T17:30:00.000Z,88.0,79.0,9.0
New Delhi-8118,2025-03-09T18:30:00.000Z,100.0,88.0,12.0
New Delhi-8118,2025-03-09T20:30:00.000Z,92.0,88.0,4.0
New Delhi-8118,2025-03-09T21:30:00.000Z,94.0,92.0,2.0
New Delhi-8118,2025-03-09T23:30:00.000Z,106.0,92.0,14.0
New Delhi-8118,2025-03-10T01:30:00.000Z,105.0,104.0,1.0
New Delhi-8118,2025-03-10T02:30:00.000Z,135.0,105.0,30.0
New Delhi-8118,2025-03-10T03:30:00.000Z,151.0,135.0,16.0
New Delhi-8118,2025-03-10T11:30:00.000Z,52.0,51.0,1.0
New Delhi-8118,2025-03-10T12:30:00.000Z,56.0,52.0,4.0
New Delhi-8118,2025-03-10T13:30:00.000Z,58.0,56.0,2.0
New Delhi-8118,2025-03-10T14:30:00.000Z,64.0,58.0,6.0
New Delhi-8118,2025-03-10T15:30:00.000Z,87.0,64.0,23.0
New Delhi-8118,2025-03-10T17:30:00.000Z,105.0,85.0,20.0
New Delhi-8118,2025-03-10T18:30:00.000Z,112.0,105.0,7.0
New Delhi-8118,2025-03-10T19:30:00.000Z,123.0,112.0,11.0
New Delhi-8118,2025-03-10T22:30:00.000Z,119.0,114.0,5.0
New Delhi-8118,2025-03-11T00:30:00.000Z,121.0,114.0,7.0
New Delhi-8118,2025-03-11T01:30:00.000Z,128.0,121.0,7.0
New Delhi-8118,2025-03-11T02:30:00.000Z,147.0,128.0,19.0
New Delhi-8118,2025-03-11T03:30:00.000Z,166.0,147.0,19.0
New Delhi-8118,2025-03-11T10:30:00.000Z,66.0,48.0,18.0
New Delhi-8118,2025-03-11T12:30:00.000Z,71.0,46.0,25.0
New Delhi-8118,2025-03-11T14:30:00.000Z,69.0,64.0,5.0
New Delhi-8118,2025-03-11T15:30:00.000Z,85.0,69.0,16.0
New Delhi-8118,2025-03-11T16:30:00.000Z,93.0,85.0,8.0
New Delhi-8118,2025-03-11T17:30:00.000Z,119.0,93.0,26.0
New Delhi-8118,2025-03-11T19:30:00.000Z,119.0,117.0,2.0
New Delhi-8118,2025-03-11T20:30:00.000Z,142.0,119.0,23.0
New Delhi-8118,2025-03-11T21:30:00.000Z,173.0,142.0,31.0
New Delhi-8118,2025-03-12T03:30:00.000Z,214.0,147.0,67.0
New Delhi-8118,2025-03-12T06:30:00.000Z,82.0,65.0,17.0
New Delhi-8118,2025-03-12T11:30:00.000Z,34.0,29.0,5.0
New Delhi-8118,2025-03-12T12:30:00.000Z,37.0,34.0,3.0
New Delhi-8118,2025-03-12T13:30:00.000Z,42.0,37.0,5.0
New Delhi-8118,2025-03-12T14:30:00.000Z,50.0,42.0,8.0
New Delhi-8118,2025-03-12T15:30:00.000Z,66.0,50.0,16.0
New Delhi-8118,2025-03-12T16:30:00.000Z,70.0,66.0,4.0
New Delhi-8118,2025-03-12T17:30:00.000Z,81.0,70.0,11.0
New Delhi-8118,2025-03-12T23:30:00.000Z,71.0,60.0,11.0
New Delhi-8118,2025-03-13T00:30:00.000Z,89.0,71.0,18.0
New Delhi-8118,2025-03-13T01:30:00.000Z,111.0,89.0,22.0
New Delhi-8118,2025-03-13T02:30:00.000Z,164.0,111.0,53.0
New Delhi-8118,2025-03-13T12:30:00.000Z,49.0,45.0,4.0
New Delhi-8118,2025-03-13T13:30:00.000Z,75.0,49.0,26.0
New Delhi-8118,2025-03-13T14:30:00.000Z,89.0,75.0,14.0
New Delhi-8118,2025-03-13T18:30:00.000Z,61.0,57.0,4.0
New Delhi-8118,2025-03-13T19:30:00.000Z,102.0,61.0,41.0
New Delhi-8118,2025-03-13T20:30:00.000Z,111.0,102.0,9.0
New Delhi-8118,2025-03-13T21:30:00.000Z,116.0,111.0,5.0
New Delhi-8118,2025-03-13T23:30:00.000Z,106.0,96.0,10.0
New Delhi-8118,2025-03-14T00:30:00.000Z,135.0,106.0,29.0
New Delhi-8118,2025-03-14T02:30:00.000Z,132.0,131.0,1.0
New Delhi-8118,2025-03-14T07:30:00.000Z,48.0,46.0,2.0
New Delhi-8118,2025-03-14T11:30:00.000Z,31.0,25.0,6.0
New Delhi-8118,2025-03-14T12:30:00.000Z,58.0,31.0,27.0
New Delhi-8118,2025-03-14T14:30:00.000Z,43.0,42.0,1.0
New Delhi-8118,2025-03-14T15:30:00.000Z,46.0,43.0,3.0
New Delhi-8118,2025-03-14T17:30:00.000Z,47.0,44.0,3.0
New Delhi-8118,2025-03-14T19:30:00.000Z,52.0,40.0,12.0
New Delhi-8118,2025-03-14T23:30:00.000Z,16.0,13.0,3.0
New Delhi-8118,2025-03-15T01:30:00.000Z,19.0,10.0,9.0
New Delhi-8118,2025-03-15T03:30:00.000Z,19.0,18.0,1.0
New Delhi-8118,2025-03-15T04:30:00.000Z,23.0,19.0,4.0
New Delhi-8118,2025-03-15T06:30:00.000Z,24.0,22.0,2.0
New Delhi-8118,2025-03-15T07:30:00.000Z,27.0,24.0,3.0
New Delhi-8118,2025-03-15T09:30:00.000Z,28.0,24.0,4.0
New Delhi-8118,2025-03-15T10:30:00.000Z,29.0,28.0,1.0
New Delhi-8118,2025-03-15T12:30:00.000Z,28.0,27.0,1.0
New Delhi-8118,2025-03-15T13:30:00.000Z,47.0,28.0,19.0
New Delhi-8118,2025-03-15T14:30:00.000Z,51.0,47.0,4.0
New Delhi-8118,2025-03-15T16:30:00.000Z,28.0,27.0,1.0
New Delhi-8118,2025-03-15T17:30:00.000Z,29.0,28.0,1.0
New Delhi-8118,2025-03-15T20:30:00.000Z,78.0,25.0,53.0
New Delhi-8118,2025-03-15T23:30:00.000Z,56.0,51.0,5.0
New Delhi-8118,2025-03-16T00:30:00.000Z,67.0,56.0,11.0
New Delhi-8118,2025-03-16T01:30:00.000Z,69.0,67.0,2.0
New Delhi-8118,2025-03-16T02:30:00.000Z,86.0,69.0,17.0
New Delhi-8118,2025-03-16T03:30:00.000Z,91.0,86.0,5.0
New Delhi-8118,2025-03-16T05:30:00.000Z,66.0,64.0,2.0
New Delhi-8118,2025-03-16T07:30:00.000Z,38.0,34.0,4.0
New Delhi-8118,2025-03-16T13:30:00.000Z,18.0,17.0,1.0
New Delhi-8118,2025-03-16T14:30:00.000Z,24.0,18.0,6.0
New Delhi-8118,2025-03-16T15:30:00.000Z,33.0,24.0,9.0
New Delhi-8118,2025-03-16T16:30:00.000Z,44.0,33.0,11.0
New Delhi-8118,2025-03-16T18:30:00.000Z,43.0,34.0,9.0
New Delhi-8118,2025-03-16T21:30:00.000Z,48.0,39.0,9.0
New Delhi-8118,2025-03-16T22:30:00.000Z,57.0,48.0,9.0
New Delhi-8118,2025-03-17T00:30:00.000Z,93.0,54.0,39.0
New Delhi-8118,2025-03-17T01:30:00.000Z,97.0,93.0,4.0
New Delhi-8118,2025-03-17T02:30:00.000Z,116.0,97.0,19.0
New Delhi-8118,2025-03-17T12:30:00.000Z,33.0,27.0,6.0
New Delhi-8118,2025-03-17T14:30:00.000Z,36.0,32.0,4.0
New Delhi-8118,2025-03-17T15:30:00.000Z,40.0,36.0,4.0
New Delhi-8118,2025-03-17T16:30:00.000Z,45.0,40.0,5.0
New Delhi-8118,2025-03-17T17:30:00.000Z,56.0,45.0,11.0
New Delhi-8118,2025-03-17T18:30:00.000Z,63.0,56.0,7.0
New Delhi-8118,2025-03-17T21:30:00.000Z,73.0,55.0,18.0
New Delhi-8118,2025-03-17T22:30:00.000Z,91.0,73.0,18.0
New Delhi-8118,2025-03-17T23:30:00.000Z,94.0,91.0,3.0
New Delhi-8118,2025-03-18T00:30:00.000Z,116.0,94.0,22.0
New Delhi-8118,2025-03-18T10:30:00.000Z,22.0,18.0,4.0
New Delhi-8118,2025-03-18T11:30:00.000Z,23.0,22.0,1.0
New Delhi-8118,2025-03-18T13:30:00.000Z,23.0,20.0,3.0
New Delhi-8118,2025-03-18T14:30:00.000Z,26.0,23.0,3.0
New Delhi-8118,2025-03-18T15:30:00.000Z,53.0,26.0,27.0
New Delhi-8118,2025-03-18T16:30:00.000Z,62.0,53.0,9.0
New Delhi-8118,2025-03-18T17:30:00.000Z,82.0,62.0,20.0
New Delhi-8118,2025-03-18T19:30:00.000Z,83.0,72.0,11.0
New Delhi-8118,2025-03-18T20:30:00.000Z,101.0,83.0,18.0
New Delhi-8118,2025-03-18T21:30:00.000Z,102.0,101.0,1.0
New Delhi-8118,2025-03-18T22:30:00.000Z,148.0,102.0,46.0
New Delhi-8118,2025-03-18T23:30:00.000Z,165.0,148.0,17.0
New Delhi-8118,2025-03-19T06:30:00.000Z,85.0,48.0,37.0
New Delhi-8118,2025-03-19T12:30:00.000Z,28.0,18.0,10.0
New Delhi-8118,2025-03-19T13:30:00.000Z,29.0,28.0,1.0
New Delhi-8118,2025-03-19T14:30:00.000Z,50.0,29.0,21.0
New Delhi-8118,2025-03-19T17:30:00.000Z,50.0,48.0,2.0
New Delhi-8118,2025-03-19T18:30:00.000Z,58.0,50.0,8.0
New Delhi-8118,2025-03-19T20:30:00.000Z,61.0,57.0,4.0
New Delhi-8118,2025-03-19T22:30:00.000Z,58.0,52.0,6.0
New Delhi-8118,2025-03-19T23:30:00.000Z,63.0,58.0,5.0
New Delhi-8118,2025-03-20T00:30:00.000Z,76.0,63.0,13.0
New Delhi-8118,2025-03-20T02:30:00.000Z,88.0,76.0,12.0
New Delhi-8118,2025-03-20T03:30:00.000Z,122.0,88.0,34.0
New Delhi-8118,2025-03-20T06:30:00.000Z,46.0,40.0,6.0
New Delhi-8118,2025-03-20T10:30:00.000Z,21.0,15.0,6.0
New Delhi-8118,2025-03-20T13:30:00.000Z,20.0,13.0,7.0
New Delhi-8118,2025-03-20T14:30:00.000Z,28.0,20.0,8.0
New Delhi-8118,2025-03-20T15:30:00.000Z,45.0,28.0,17.0
New Delhi-8118,2025-03-20T16:30:00.000Z,60.0,45.0,15.0
New Delhi-8118,2025-03-20T17:30:00.000Z,63.0,60.0,3.0
New Delhi-8118,2025-03-20T18:30:00.000Z,70.0,63.0,7.0
New Delhi-8118,2025-03-20T20:30:00.000Z,68.0,53.0,15.0
New Delhi-8118,2025-03-20T21:30:00.000Z,73.0,68.0,5.0
New Delhi-8118,2025-03-20T22:30:00.000Z,77.0,73.0,4.0
New Delhi-8118,2025-03-20T23:30:00.000Z,142.0,77.0,65.0
New Delhi-8118,2025-03-21T00:30:00.000Z,180.0,142.0,38.0
New Delhi-8118,2025-03-21T10:30:00.000Z,17.0,15.0,2.0
New Delhi-8118,2025-03-21T11:30:00.000Z,18.0,17.0,1.0
New Delhi-8118,2025-03-21T12:30:00.000Z,20.0,18.0,2.0
New Delhi-8118,2025-03-21T13:30:00.000Z,24.0,20.0,4.0
New Delhi-8118,2025-03-21T14:30:00.000Z,32.0,24.0,8.0
New Delhi-8118,2025-03-21T15:30:00.000Z,51.0,32.0,19.0
New Delhi-8118,2025-03-21T17:30:00.000Z,59.0,50.0,9.0
New Delhi-8118,2025-03-21T19:30:00.000Z,60.0,54.0,6.0
New Delhi-8118,2025-03-21T21:30:00.000Z,61.0,60.0,1.0
New Delhi-8118,2025-03-21T22:30:00.000Z,108.0,61.0,47.0
New Delhi-8118,2025-03-21T23:30:00.000Z,124.0,108.0,16.0
New Delhi-8118,2025-03-22T02:30:00.000Z,76.0,74.0,2.0
New Delhi-8118,2025-03-22T03:30:00.000Z,80.0,76.0,4.0
New Delhi-8118,2025-03-22T08:30:00.000Z,43.0,37.0,6.0
New Delhi-8118,2025-03-22T12:30:00.000Z,28.0,23.0,5.0
New Delhi-8118,2025-03-22T13:30:00.000Z,33.0,28.0,5.0
New Delhi-8118,2025-03-22T14:30:00.000Z,42.0,33.0,9.0
New Delhi-8118,2025-03-22T15:30:00.000Z,60.0,42.0,18.0
New Delhi-8118,2025-03-22T16:30:00.000Z,75.0,60.0,15.0
New Delhi-8118,2025-03-22T17:30:00.000Z,82.0,75.0,7.0
New Delhi-8118,2025-03-22T19:30:00.000Z,77.0,73.0,4.0
New Delhi-8118,2025-03-22T20:30:00.000Z,84.0,77.0,7.0
New Delhi-8118,2025-03-22T23:30:00.000Z,80.0,73.0,7.0
New Delhi-8118,2025-03-23T00:30:00.000Z,81.0,80.0,1.0
New Delhi-8118,2025-03-23T01:30:00.000Z,95.0,81.0,14.0
New Delhi-8118,2025-03-23T03:30:00.000Z,96.0,95.0,1.0
New Delhi-8118,2025-03-23T08:30:00.000Z,37.0,32.0,5.0
New Delhi-8118,2025-03-23T09:30:00.000Z,43.0,37.0,6.0
New Delhi-8118,2025-03-23T13:30:00.000Z,34.0,33.0,1.0
New Delhi-8118,2025-03-23T14:30:00.000Z,49.0,34.0,15.0
New Delhi-8118,2025-03-23T15:30:00.000Z,62.0,49.0,13.0
New Delhi-8118,2025-03-23T16:30:00.000Z,73.0,62.0,11.0
New Delhi-8118,2025-03-23T17:30:00.000Z,77.0,73.0,4.0
New Delhi-8118,2025-03-23T18:30:00.000Z,78.0,77.0,1.0
New Delhi-8118,2025-03-23T19:30:00.000Z,85.0,78.0,7.0
New Delhi-8118,2025-03-23T20:30:00.000Z,90.0,85.0,5.0
New Delhi-8118,2025-03-23T21:30:00.000Z,94.0,90.0,4.0
New Delhi-8118,2025-03-23T22:30:00.000Z,108.0,94.0,14.0
New Delhi-8118,2025-03-24T01:30:00.000Z,104.0,93.0,11.0
New Delhi-8118,2025-03-24T02:30:00.000Z,113.0,104.0,9.0
New Delhi-8118,2025-03-24T03:30:00.000Z,147.0,113.0,34.0
New Delhi-8118,2025-03-24T08:30:00.000Z,49.0,30.0,19.0
New Delhi-8118,2025-03-24T11:30:00.000Z,21.0,18.0,3.0
New Delhi-8118,2025-03-24T12:30:00.000Z,36.0,21.0,15.0
New Delhi-8118,2025-03-24T13:30:00.000Z,39.0,36.0,3.0
New Delhi-8118,2025-03-24T14:30:00.000Z,60.0,39.0,21.0
New Delhi-8118,2025-03-24T15:30:00.000Z,72.0,60.0,12.0
New Delhi-8118,2025-03-24T16:30:00.000Z,76.0,72.0,4.0
New Delhi-8118,2025-03-24T17:30:00.000Z,77.0,76.0,1.0
New Delhi-8118,2025-03-24T18:30:00.000Z,104.0,77.0,27.0
New Delhi-8118,2025-03-24T19:30:00.000Z,123.0,104.0,19.0
New Delhi-8118,2025-03-24T20:30:00.000Z,125.0,123.0,2.0
New Delhi-8118,2025-03-24T22:30:00.000Z,125.0,120.0,5.0
New Delhi-8118,2025-03-24T23:30:00.000Z,127.0,125.0,2.0
New Delhi-8118,2025-03-25T00:30:00.000Z,132.0,127.0,5.0
New Delhi-8118,2025-03-25T01:30:00.000Z,138.0,132.0,6.0
New Delhi-8118,2025-03-25T02:30:00.000Z,149.0,138.0,11.0
New Delhi-8118,2025-03-25T03:30:00.000Z,164.0,149.0,15.0
New Delhi-8118,2025-03-25T09:30:00.000Z,31.0,26.0,5.0
New Delhi-8118,2025-03-25T11:30:00.000Z,30.0,29.0,1.0
New Delhi-8118,2025-03-25T12:30:00.000Z,35.0,30.0,5.0
New Delhi-8118,2025-03-25T13:30:00.000Z,43.0,35.0,8.0
New Delhi-8118,2025-03-25T14:30:00.000Z,52.0,43.0,9.0
New Delhi-8118,2025-03-25T15:30:00.000Z,62.0,52.0,10.0
New Delhi-8118,2025-03-25T16:30:00.000Z,82.0,62.0,20.0
New Delhi-8118,2025-03-25T17:30:00.000Z,98.0,82.0,16.0
New Delhi-8118,2025-03-25T18:30:00.000Z,111.0,98.0,13.0
New Delhi-8118,2025-03-25T19:30:00.000Z,120.0,111.0,9.0
New Delhi-8118,2025-03-25T21:30:00.000Z,128.0,111.0,17.0
New Delhi-8118,2025-03-25T22:30:00.000Z,134.0,128.0,6.0
New Delhi-8118,2025-03-25T23:30:00.000Z,140.0,134.0,6.0
New Delhi-8118,2025-03-26T01:30:00.000Z,141.0,133.0,8.0
New Delhi-8118,2025-03-26T02:30:00.000Z,162.0,141.0,21.0
New Delhi-8118,2025-03-26T07:30:00.000Z,36.0,32.0,4.0
New Delhi-8118,2025-03-26T08:30:00.000Z,46.0,36.0,10.0
New Delhi-8118,2025-03-26T12:30:00.000Z,25.0,20.0,5.0
New Delhi-8118,2025-03-26T13:30:00.000Z,44.0,25.0,19.0
New Delhi-8118,2025-03-26T14:30:00.000Z,47.0,44.0,3.0
New Delhi-8118,2025-03-26T15:30:00.000Z,74.0,47.0,27.0
New Delhi-8118,2025-03-26T17:30:00.000Z,71.0,68.0,3.0
New Delhi-8118,2025-03-26T18:30:00.000Z,92.0,71.0,21.0
New Delhi-8118,2025-03-26T19:30:00.000Z,100.0,92.0,8.0
New Delhi-8118,2025-03-26T20:30:00.000Z,111.0,100.0,11.0
